AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn
86,17.11358215143641,1471.768065023531,Premium,Credit card,No,Movies,No,Computer,37.56085439747247,56.45202316020266,0,Sci-Fi,4.770685993012727,8,Male,9,No,Yes,UZKUL5A75Y,0
3,7.985684491047657,23.95705347314297,Standard,Mailed check,No,Movies,Yes,TV,10.48663523033801,150.6038849897893,47,Comedy,4.112149219829129,5,Male,0,No,No,XHQ0TBJJ1G,0
55,7.756260403527625,426.59432219401936,Standard,Credit card,No,Both,No,Computer,25.28087885338152,143.36702510409413,43,Action,4.107093665580511,2,Male,21,Yes,Yes,QZ47FIM2SI,0
7,5.566055345563121,38.96238741894184,Premium,Electronic check,No,Movies,No,Mobile,35.30868576807238,112.7371812811014,8,Drama,1.6501146664023807,3,Male,10,No,Yes,WS26YF3UEU,0
50,9.91976960515276,495.988480257638,Basic,Credit card,No,TV Shows,No,Tablet,29.66805691164357,61.6879826434141,2,Sci-Fi,1.094914588546979,3,Female,17,No,No,PEQMM40OXT,0
51,14.37591086353208,733.171454040136,Premium,Mailed check,Yes,Both,Yes,Mobile,10.213231107077034,103.9314799539038,23,Drama,2.389181266198719,4,Male,22,No,Yes,O982N7UK0S,1
17,8.289754838618721,140.92583225651828,Basic,Mailed check,Yes,Both,No,Computer,33.38882346609671,131.18842322273989,44,Drama,2.163491686033596,9,Male,19,Yes,No,QQVR2ATUVV,0
96,12.090878877288432,1160.7243722196897,Basic,Credit card,No,TV Shows,No,Mobile,32.03032655616393,92.52741227555808,34,Action,2.408668214770612,4,Male,11,Yes,Yes,A5F9LFSBFG,0
33,18.962383791480647,625.7586651188614,Basic,Electronic check,No,Movies,Yes,TV,6.245985315450009,166.72819247000584,8,Sci-Fi,2.294330712712639,4,Female,20,No,Yes,S0NXQSW0OV,1
113,12.23808382355093,1382.9034720612551,Premium,Credit card,No,TV Shows,No,Mobile,28.01733717378616,109.39128734354912,23,Action,1.2909523685286866,3,Male,23,No,Yes,3VVMETTXBY,0
68,12.194016517484362,829.1931231889366,Standard,Electronic check,No,Movies,Yes,Mobile,26.71148420189313,142.71564030936673,4,Action,3.5937366915785662,0,Male,4,No,Yes,6743ETEMN8,1
60,5.060457414485314,303.62744486911885,Standard,Bank transfer,No,Movies,Yes,TV,9.560396390133322,16.09123790531913,0,Drama,4.564082624389103,9,Male,2,Yes,No,A3448QA2AL,0
85,10.740693905724838,912.9589819866112,Basic,Credit card,Yes,Both,Yes,Mobile,18.74387236375736,66.45802432740498,1,Action,2.6002829285334967,3,Male,3,No,No,2LGFBE0YPX,0
93,7.1829279416415215,668.0122985726615,Standard,Electronic check,Yes,Movies,No,Tablet,19.787270885023265,15.827906370883223,33,Drama,1.895962510307024,3,Male,13,No,Yes,4MXMVB8D2D,0
103,10.509184639727556,1082.4460178919385,Standard,Credit card,No,Both,No,Computer,33.39975529589309,154.58399791253711,5,Sci-Fi,2.492233671593574,3,Male,23,No,Yes,0HWXAHOHPM,0
65,10.80841778701918,702.5471561562467,Standard,Mailed check,No,TV Shows,Yes,Tablet,34.49413777714733,130.67845746498926,48,Sci-Fi,2.5260081508206684,6,Male,21,No,Yes,HPG3H3HXOP,0
11,5.688131281879321,62.56944410067253,Standard,Bank transfer,Yes,Both,No,Computer,15.031810689297084,26.232078926382965,42,Action,2.557163219137144,4,Female,3,Yes,Yes,EJQSZBW6E5,0
84,14.380940077809951,1207.998966536036,Premium,Bank transfer,Yes,Both,Yes,TV,22.35455971832785,106.17357529451898,42,Action,4.844057492344191,0,Female,9,No,Yes,MTRS38L2N3,0
61,9.693262527818172,591.2890141969085,Premium,Credit card,Yes,TV Shows,No,TV,16.689615822788088,152.15709013939912,33,Drama,2.5456923428589877,4,Female,6,No,No,8OMXUOO439,0
96,11.490461921387125,1103.0843444531638,Premium,Credit card,No,Movies,Yes,TV,29.02053960240308,91.12414931079456,48,Sci-Fi,2.438447057300301,3,Female,18,No,No,UYH4NMGOKL,0
109,14.383487379973518,1567.8001244171137,Premium,Mailed check,Yes,TV Shows,Yes,TV,34.433696356313895,155.99334400368136,44,Drama,1.536188839221642,6,Female,14,Yes,No,PTXV1O1G5C,1
119,18.940067679349216,2253.8680538425565,Standard,Credit card,Yes,Both,No,Computer,33.19061748173557,68.55905790081434,3,Action,4.737921709385361,3,Female,5,Yes,Yes,RDB2WFIGDQ,0
25,18.418792847129755,460.4698211782439,Standard,Electronic check,No,Movies,Yes,TV,32.30859669680984,141.99212694112654,27,Drama,2.745292902945192,7,Female,15,No,No,I1TJSUDRBC,0
116,8.360082384346512,969.7695565841956,Basic,Bank transfer,Yes,Both,No,TV,1.4832252870174325,145.47216358101352,1,Comedy,3.4956105360962173,5,Male,22,Yes,No,VRL8IL143O,1
111,14.689850714635288,1630.5734293245168,Standard,Electronic check,Yes,Both,No,Tablet,6.3094892959224405,122.38189127538185,21,Fantasy,1.2219353602185357,6,Male,12,No,Yes,WBLYMZ5R6C,0
114,7.750968545236918,883.6104141570087,Premium,Credit card,No,TV Shows,Yes,Mobile,5.814357027847129,120.61620211757588,43,Sci-Fi,1.3998089447721558,2,Female,15,Yes,No,WT1CEWYT7E,0
58,5.00119905189034,290.0695450096397,Premium,Bank transfer,Yes,Movies,Yes,Mobile,28.387688057393515,39.47697675017778,45,Action,4.201442850748979,4,Female,19,No,No,V1MBR836HS,0
31,5.422159581902417,168.08694703897493,Basic,Mailed check,Yes,Both,Yes,Computer,3.2413463627695567,121.5290201575168,27,Action,4.915019793341486,3,Female,16,No,No,VWJ9EJL7ZR,0
112,18.85743306443348,2112.0325032165497,Basic,Credit card,No,Both,No,TV,39.42383202275114,110.39184603502471,14,Fantasy,3.0884018272495712,7,Female,20,Yes,No,IBBLEB22WE,0
118,15.991756920778986,1887.0273166519205,Premium,Credit card,No,Movies,No,Mobile,23.368040209992262,56.753540229513945,44,Fantasy,2.3422803013143496,3,Male,21,Yes,No,52H6D9RHNU,0
15,19.563912096666694,293.4586814500005,Basic,Electronic check,No,Movies,No,Tablet,34.55564542800346,120.76511317572628,41,Comedy,4.625535887305892,0,Female,6,Yes,Yes,I8NGUW1Y2J,0
10,6.3589773392577,63.589773392576994,Premium,Mailed check,No,Both,Yes,Mobile,15.007224131342433,157.45217324319228,0,Fantasy,1.0129613373103123,3,Female,13,No,No,VHZ751ZWJK,0
71,9.969477115892548,707.8328752283708,Basic,Electronic check,No,Movies,No,Mobile,12.232940649955424,131.69790089523286,26,Action,2.016122283576705,4,Female,7,Yes,No,CSK50MYEZL,1
88,14.925578971077083,1313.4509494547833,Basic,Bank transfer,Yes,Movies,No,Mobile,32.53108762943209,14.330596728807045,14,Fantasy,4.789239992941464,5,Male,6,Yes,No,GGMESTJ63P,0
77,5.810152672907361,447.3817558138669,Standard,Bank transfer,No,Both,Yes,TV,6.190674719594671,92.43433759303043,31,Action,2.3028178081026027,6,Female,21,Yes,No,HRJAZWBLO7,0
76,15.417545982811635,1171.7334946936842,Standard,Credit card,Yes,Both,Yes,Mobile,14.50884804903701,66.26391280088572,23,Comedy,2.341014916358859,8,Female,12,Yes,No,0ZPMOJFOB2,1
87,15.442348392658676,1343.4843101613048,Standard,Bank transfer,No,Both,No,TV,8.662944431942627,19.98482774040392,9,Comedy,1.7018562641746704,8,Female,6,No,No,6IG6AIIEIE,0
5,15.9963221961131,79.9816109805655,Standard,Mailed check,Yes,TV Shows,Yes,Computer,5.096846354589818,117.06177485802128,7,Drama,4.567697045787012,7,Female,0,No,Yes,E8E7SI8OJ5,1
26,7.970739129439114,207.23921736541692,Basic,Credit card,Yes,Movies,No,Computer,26.993777279234585,170.7324828239292,34,Sci-Fi,1.1925219183857552,0,Female,0,No,No,XMUFAUJVLA,0
