AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn
21,12.842352426906904,269.68940096504497,Premium,Electronic check,Yes,TV Shows,No,Mobile,19.015811580312874,172.30901053705574,29,Comedy,2.779644381267865,7,Male,19,No,No,ZN2JJPQSYR,0
2,12.731852836148132,25.463705672296264,Basic,Credit card,No,Movies,No,TV,8.832847105504602,113.92620804098584,43,Drama,4.121463263656899,7,Male,20,No,No,TUDUGVW30X,0
38,19.57984489623884,744.0341060570759,Standard,Credit card,Yes,Both,Yes,Computer,24.25774517926901,28.53997078859305,29,Action,2.79420645967147,5,Female,21,Yes,No,P9ETVBRYEX,1
30,8.13667017610479,244.1001052831437,Basic,Bank transfer,Yes,Movies,Yes,Mobile,37.41138931576961,97.62276737133944,42,Sci-Fi,2.531804173642378,6,Female,9,No,Yes,AWWBXV3B4I,0
17,12.175287213253348,206.9798826253069,Standard,Electronic check,Yes,Movies,No,Tablet,36.3591186173315,25.376689326899594,26,Action,3.7789540207914185,5,Female,20,Yes,Yes,F3XJCCL0HI,1
93,11.10183805141584,1032.470938781673,Premium,Mailed check,Yes,TV Shows,Yes,TV,38.663220392272855,49.798253384218434,25,Action,1.475521172799498,0,Male,10,Yes,No,TNKTI7NULC,0
2,8.529142520932123,17.058285041864245,Basic,Electronic check,Yes,Movies,No,TV,3.39203501661089,95.78716619143798,41,Sci-Fi,3.622957956583088,3,Male,0,No,No,LBUMOTY0I1,0
37,11.969098114054216,442.856630220006,Standard,Bank transfer,No,Movies,No,TV,15.914599464448273,65.55397923762747,1,Fantasy,3.2126965029630066,4,Female,3,No,No,JUQWK4PSUF,0
5,18.505321310983067,92.52660655491532,Standard,Mailed check,Yes,Movies,Yes,TV,22.938060627924465,53.00945694997509,24,Fantasy,4.247866866761034,0,Male,23,Yes,Yes,K3DN6QLT7C,0
26,17.44688245685916,453.6189438783382,Basic,Bank transfer,Yes,Movies,Yes,TV,32.56340486872396,50.37660011187607,48,Fantasy,4.309088900819855,7,Male,5,Yes,Yes,BDNQU0LTWN,1
